organization_id,source_id,document_title,reporting_period,official_url,evidence_type,group_dimension,flow_concept,source_defined_measure,value,unit,measurement_status,screening_status,notes
IND001,ORG_PUBLIC,TCS Corporate Sustainability Report 2018-2019,FY2018-19,https://www.tcs.com/content/dam/global-tcs/en/pdfs/who-we-are/sustainability-reports/GRI-Sustainability-Report-2018-2019.pdf,new_hire_distribution,"region;age;gender",hires,"Break-up of new hires by region, employee age, and gender",,percent,reported,Secondary,"Exhibit 7 reports a percentage distribution, not group-specific hire counts."
IND001,ORG_PUBLIC,TCS Integrated Annual Report 2024-25,FY2024-25,https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2024-25/ar/annual-report-2024-2025.pdf,workforce_stock,gender,employment_end,"Employee demographics and workforce composition",35.2,percent_women,reported,Secondary,"Workforce composition is not a firing count."
IND001,ORG_PUBLIC,TCS Integrated Annual Report 2024-25,FY2024-25,https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2024-25/ar/annual-report-2024-2025.pdf,attrition,overall,other_separations,"IT services attrition, last twelve months",13.3,percent,reported,Secondary,"Source-defined attrition; not relabeled as firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"America;<30;Men",hires,"Total count of new employee hires by age, gender and region",1907,count,reported,Secondary,"Source table also reports a 4.45% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"America;<30;Women",hires,"Total count of new employee hires by age, gender and region",1008,count,reported,Secondary,"Source table also reports a 3.66% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"APAC;<30;Men",hires,"Total count of new employee hires by age, gender and region",1094,count,reported,Secondary,"Source table also reports a 2.55% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"APAC;<30;Women",hires,"Total count of new employee hires by age, gender and region",1001,count,reported,Secondary,"Source table also reports a 3.64% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"EMEA;<30;Men",hires,"Total count of new employee hires by age, gender and region",736,count,reported,Secondary,"Source table also reports a 1.72% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"EMEA;<30;Women",hires,"Total count of new employee hires by age, gender and region",536,count,reported,Secondary,"Source table also reports a 1.95% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"India;<30;Men",hires,"Total count of new employee hires by age, gender and region",27681,count,reported,Secondary,"Source table also reports a 64.56% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"India;<30;Women",hires,"Total count of new employee hires by age, gender and region",20324,count,reported,Secondary,"Source table also reports a 73.84% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"America;31-50;Men",hires,"Total count of new employee hires by age, gender and region",2932,count,reported,Secondary,"Source table also reports a 6.84% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"America;31-50;Women",hires,"Total count of new employee hires by age, gender and region",1784,count,reported,Secondary,"Source table also reports a 6.48% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"APAC;31-50;Men",hires,"Total count of new employee hires by age, gender and region",1096,count,reported,Secondary,"Source table also reports a 2.56% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"APAC;31-50;Women",hires,"Total count of new employee hires by age, gender and region",586,count,reported,Secondary,"Source table also reports a 2.13% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"EMEA;31-50;Men",hires,"Total count of new employee hires by age, gender and region",1107,count,reported,Secondary,"Source table also reports a 2.58% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"EMEA;31-50;Women",hires,"Total count of new employee hires by age, gender and region",499,count,reported,Secondary,"Source table also reports a 1.81% hiring rate."
